Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Backorders allowed?,Regular price,Sale price,Categories,Tags,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default
variable,VS-SER-499,Serum Anua Niacinamida 10 + TXA 4,1,1,visible,"<p>Niacinamida al 10% con ácido tranexámico al 4%, en base ligera de agua de arroz.</p>","<p>Niacinamida al 10% con ácido tranexámico al 4%, en base ligera de agua de arroz.</p>
<ul>
<li>Niacinamida 10% + TXA 4% — porcentajes declarados en etiqueta</li>
<li>Textura fluida, sin siliconas ni fragancia añadida</li>
<li>Coreano original, importación verificada</li>
</ul>
<h3>Modo de uso</h3>
<p>2 a 3 gotas sobre rostro limpio, mañana y noche. De día, sellar con protector solar.</p>
<h3>Presentación</h3>
<p>30 ml</p>
<p class=""vs-legal""><strong>Suplemento alimenticio. No es medicamento.</strong> El consumo de este producto es responsabilidad de quien lo recomienda y de quien lo usa. Este sitio no ofrece diagnóstico ni tratamiento.</p>",1,0,,,"Skincare, Skincare > Piel",Piel,serum-anua.png,,1,Paquete,"1 pieza, 2 piezas, 3 piezas",1,1,1 pieza
variation,VS-SER-499-P1,Serum Anua Niacinamida 10 + TXA 4 — 1 pieza,1,0,visible,,,1,0,749,499,,,,VS-SER-499,1,Paquete,1 pieza,1,1,
variation,VS-SER-499-P2,Serum Anua Niacinamida 10 + TXA 4 — 2 piezas,1,0,visible,,,1,0,1498,878,,,,VS-SER-499,2,Paquete,2 piezas,1,1,
variation,VS-SER-499-P3,Serum Anua Niacinamida 10 + TXA 4 — 3 piezas,1,0,visible,,,1,0,2247,1227,,,,VS-SER-499,3,Paquete,3 piezas,1,1,
variable,VS-GLU-749,Glutatión Pro en Gomas,1,1,visible,"<p>300 mg de glutatión con aminoácidos y colágeno, en goma de pectina de fruta.</p>","<p>300 mg de glutatión con aminoácidos y colágeno, en goma de pectina de fruta.</p>
<ul>
<li>300 mg glutatión · 100 mg aminoácidos · 50 mg colágeno</li>
<li>Base de pectina, sin gelatina animal</li>
<li>Dos gomas al día equivalen a una porción</li>
</ul>
<h3>Modo de uso</h3>
<p>2 gomas al día, con o sin alimentos. Un frasco rinde 30 días.</p>
<h3>Presentación</h3>
<p>60 gomas</p>
<p class=""vs-legal""><strong>Suplemento alimenticio. No es medicamento.</strong> El consumo de este producto es responsabilidad de quien lo recomienda y de quien lo usa. Este sitio no ofrece diagnóstico ni tratamiento.</p>",1,0,,,"Suplementos, Suplementos > Piel",Piel,glutation-gomas.png,,2,Paquete,"1 pieza, 2 piezas, 3 piezas",1,1,1 pieza
variation,VS-GLU-749-P1,Glutatión Pro en Gomas — 1 pieza,1,0,visible,,,1,0,999,749,,,,VS-GLU-749,1,Paquete,1 pieza,1,1,
variation,VS-GLU-749-P2,Glutatión Pro en Gomas — 2 piezas,1,0,visible,,,1,0,1998,1318,,,,VS-GLU-749,2,Paquete,2 piezas,1,1,
variation,VS-GLU-749-P3,Glutatión Pro en Gomas — 3 piezas,1,0,visible,,,1,0,2997,1842,,,,VS-GLU-749,3,Paquete,3 piezas,1,1,
variable,VS-CRE-599,Creatina Monohidratada Dropi Cup,1,1,visible,"<p>Creatina monohidratada sin sabor, un solo ingrediente por porción.</p>","<p>Creatina monohidratada sin sabor, un solo ingrediente por porción.</p>
<ul>
<li>5 g de creatina monohidratada por medida</li>
<li>Sin sabor: se mezcla en agua, jugo o batido</li>
<li>60 porciones por bote</li>
</ul>
<h3>Modo de uso</h3>
<p>5 g al día, a cualquier hora. En días de entrenamiento, después de entrenar.</p>
<h3>Presentación</h3>
<p>300 g</p>
<p class=""vs-legal""><strong>Suplemento alimenticio. No es medicamento.</strong> El consumo de este producto es responsabilidad de quien lo recomienda y de quien lo usa. Este sitio no ofrece diagnóstico ni tratamiento.</p>",1,0,,,"Suplementos, Suplementos > Energía, Suplementos > Peso","Energía, Peso",creatina.png,,3,Paquete,"1 pieza, 2 piezas, 3 piezas",1,1,1 pieza
variation,VS-CRE-599-P1,Creatina Monohidratada Dropi Cup — 1 pieza,1,0,visible,,,1,0,599,,,,,VS-CRE-599,1,Paquete,1 pieza,1,1,
